TREAT;PLOT;YEAR;MONTH;JDAY;FFT;TTS;TT_ENC;HT_SOILC;CET_SOIL;TT_SOILC;FFH;TH_ENC;HH_SOILC;CEH_SOIL;TH_SOILC;FHprcn;FAprcn;FFA;TENVIRON;TSOIL;TFLSOIL;RAINFALL;WCSOIL;EMOIST;CO2gmonth
UE;5;2022;15;453;1.72;20;13;4.01;1.01;30.09;0.529;15;4.01;1.01;30.09;30.75581395;69.24418605;1.191;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;196.16256
UE;2;2022;14;422;1.732;21.19;21;9.73;0.9;21.19;1.092;20;9.73;0.9;21.19;63.04849885;36.95150115;0.64;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;197.531136
UE;1;2021;4;116;1.78;18;NA;NA;NA;NA;0.6;20.15;NA;NA;NA;33.70786517;66.29213483;1.18;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;203.00544
UE;3;2021;7;210;1.813;17;9;17.23;0.48;10.37;0.81;11;9.43;0;11.53;44.67733039;55.32266961;1.003;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;206.769024
UE;1;2021;7;210;1.915;15;9;28.17;0.52;10.2;0.854;11;14.63;0.55;11.7;44.59530026;55.40469974;1.061;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;218.40192
UE;1;2021;8;238;1.928;15.07;12;36.87;0.51;10.07;1.183;12;23.13;0.74;13.7;61.35892116;38.64107884;0.745;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;219.884544
UE;4;2021;9;273;1.944;17.5;15;26.4;0.54;15.3;0.884;15;66.3;0.9;16.4;45.47325103;54.52674897;1.06;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;221.709312
UE;3;2021;4;116;1.97;21;19;14.8;NA;21.23;0.5;22.15;NA;NA;NA;25.38071066;74.61928934;1.47;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;224.67456
UE;5;2022;14;422;1.977;22;20;9.73;0.9;21.19;1.301;20;14.7;0.67;19.96;65.80677795;34.19322205;0.676;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;225.472896
UE;4;2022;13;386;1.998;24;20;12.9;NA;20.6;1.068;20;12.9;NA;20.47;53.45345345;46.54654655;0.93;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;227.867904
UE;3;2021;6;165;2.132;18;13;19.83;0.52;12.7;0.464;13;17.07;0.23;11.93;21.76360225;78.23639775;1.668;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;243.150336
UE;2;2021;11;315;2.281;19;17;15.9;NA;12.79;1.073;17;15.8;NA;17.77;47.04077159;52.95922841;1.208;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;260.143488
UE;4;2021;4;116;2.35;21.2;19;14.8;NA;21.23;0.89;20.15;NA;NA;NA;37.87234043;62.12765957;1.46;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;268.0128
UE;4;2021;11;315;2.395;19.2;17;15.9;NA;12.79;1.133;17;15.8;NA;17.77;47.30688935;52.69311065;1.262;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;273.14496
UE;2;2021;6;165;2.54;18;13;24.93;0.4;11.03;0.902;NA;NA;NA;NA;35.51181102;64.48818898;1.638;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;289.68192
UE;4;2021;3;65;2.61;20;19;9.4;NA;14.66;0.86;23.15;NA;NA;NA;32.95019157;67.04980843;1.75;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;297.66528
UE;5;2021;6;165;2.99;18;13;52;0.68;10.23;1.136;13;18.33;0.49;12.37;37.99331104;62.00668896;1.854;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;341.00352
